Participant,Puzzle1,Puzzle2,Puzzle3,Puzzle4,Puzzle5,Puzzle6,Puzzle7,Puzzle8,Puzzle9,Puzzle10,Puzzle11,Puzzle12,Puzzle13,Puzzle14,Puzzle15,Puzzle16,Puzzle17,Puzzle18,Puzzle19,Puzzle20,TotScore,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,TotalTime,Clicks 1,Clicks 2,Clicks 3,Clicks 4,Clicks 5,Clicks 6,Clicks 7,Clicks 8,Clicks 9,Clicks 10,Clicks 11,Clicks 12,Clicks 13,Clicks 14,Clicks 15,Clicks 16,Clicks 17,Clicks 18,Clicks 19,Clicks 20,TotalClicks
36,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,19,33.86313198,77.47566179,32.27906989,99.752469,45.27930035,83.74324195,24.87191349,77.11063592,21.45000819,80.10473384,33.76164846,87.54091499,22.47769073,98.91427123,23.14839833,83.66287688,36.9239718,69.02902848,51.97600305,61.44727898,1144.812249,6,11,4,16,6,10,4,12,4,12,5,15,4,19,5,17,5,11,10,12,188
37,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,8,112.8111017,120,109.98282,120,120,120,91.93632507,120,66.16576028,120,77.32449413,120,107.1152746,120,52.25504868,120,89.43728542,120,120,120,2147.02811,11,9,13,10,17,18,18,15,6,17,10,17,20,13,8,18,11,14,24,20,289
38,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,17,35.89976911,98.2517811,38.03254146,120,42.51216922,120,39.3156627,120,29.42424449,85.65569744,28.17918563,72.78532443,18.91199082,77.10192719,23.94889388,64.53656739,29.83265912,83.57743176,65.83109811,66.39745442,1260.194398,6,11,4,14,4,15,8,15,7,18,4,14,4,15,4,11,7,20,12,14,207
39,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,19,26.4743513,59.70397918,41.59946787,81.17512355,23.91652224,91.35937151,23.07402818,87.75445269,22.95927886,77.69552144,31.58251321,99.86859506,20.96644337,53.33361341,20.53531429,66.47727878,34.93752266,107.7025661,48.24557157,55.13962802,1074.501143,8,12,10,16,6,18,7,23,6,17,10,20,5,13,6,15,7,24,16,12,251
40,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,15,21.42375556,84.9661014,84.48220768,120,37.71575722,120,24.74270591,120,22.88338222,120,28.46415714,120,20.94880664,86.34327433,16.30263716,93.910462,28.87770687,93.19788932,83.08102661,88.31698438,1415.656854,5,15,15,19,5,24,5,18,4,13,7,15,8,12,4,19,5,15,13,14,235
41,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,4,48.4880834,59.6823278,100.2281472,99.64198733,120,79.26960503,60.16408037,56.02889274,29.01887958,80.60756527,38.05806865,68.59601349,48.08705423,68.66288232,47.59097309,40.29825004,50.06673027,53.93675052,76.43558886,72.63248083,1297.494361,16,13,13,16,20,10,10,12,7,10,6,11,13,11,11,12,17,16,19,16,259
42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,120,120,54.02360885,86.26944272,109.1671444,120,75.20241048,102.8173667,62.37586052,55.98132333,57.41489105,37.18453204,76.00017775,63.97019234,62.94279712,53.11064691,30.88544962,33.38526394,31.39494774,21.35641173,1373.482467,14,32,7,28,10,23,17,31,8,15,10,12,17,11,10,14,4,4,9,8,284
43,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,18,21.33139209,59.47532699,19.6844322,69.94713167,25.43969142,52.22593395,22.14246766,79.93008366,22.42595718,49.22570255,15.21188621,51.21351114,13.13947905,46.46442927,13.0779071,47.90063056,16.21898449,39.46634719,80.80885627,51.88736286,797.2175135,7,19,5,18,8,15,6,21,6,11,4,16,4,13,4,12,6,14,22,10,221
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,27.2509312,75.76244894,40.34603606,83.81106903,35.00958537,64.70007828,32.75787786,90.40376659,18.59147012,64.2892386,23.43881854,94.0551646,18.12759322,62.01119537,21.75259812,65.4005214,38.26890901,92.62703245,59.67385079,91.57461665,1099.852802,6,15,10,16,6,14,9,20,5,12,7,20,5,11,5,14,9,18,11,16,229
45,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,15,40.33440729,87.22992093,24.4601815,120,51.2457429,120,27.11018878,120,22.12899981,101.0482259,29.62547656,69.736827,25.24091102,62.43516559,14.72170717,99.75355777,30.8999443,67.56838098,64.50331098,116.6779012,1294.72085,9,17,7,23,14,22,6,25,6,22,7,13,7,12,4,23,5,14,14,23,273
