Participant,Age,IPT,TotalTime,avgPlanall,PlanAccGam,SAT,RankDiffall,Pred4Time,Pred9Time,AvgPredAcc,MonFail,PrAccNFail,CJT,CJP,RefTimeAcc,RefPuzzAcc,StratUsed,StratImp,PuzzAcc,Plan1,Plan2,Plan3,Plan4,MonCon1,MonCon2,MonCon3,MonCon4,Eval1,Eval2,Eval3,Know1,Know2,Evalb,Evalc
95,24,452.2518541,1501.658241,0.169263546,-0.3103448,4,7.75,896,591,11.69033062,N,11.69033062,5,,10.98940478,,2,1,14,0.169263546,-0.3103448,0.4,0.225,-0.010690331,1,-10.69033062,0.2142857,-0.009989405,NA,-10.19033062,2,1,0.009989405,0.8
98,23,181.8579391,715.2144354,0.224388207,0.7777777,10,4.15,360,755,0.380630751,N,0.380630751,8,,0.180630751,,2,2,19,0.224388207,0.7777777,1,0.585,0.619369249,1,0.619369249,0.6842105,0.819369249,NA,0.819369249,2,2,0.819369249,0.85
99,18,203.2055029,804.1793368,0.228888599,-0.4166666,10,4.8,214,557,0.499568758,N,0.499568758,6,,0.099568758,,2,1,16,0.228888599,-0.4166666,1,0.52,0.500431242,1,0.500431242,0.25,0.900431242,NA,0.900431242,2,1,0.900431242,0.8
100,25,308.9325668,837.443251,0.286347265,0.125,10,4.3,312,761,0.349186525,N,0.349186525,6,,0.088313475,,2,1,18,0.286347265,0.125,1,0.57,0.650813475,1,0.650813475,0.4444444,0.911686525,NA,0.949186525,2,1,0.911686525,0.7
101,22,198.6058194,784.0477275,0.219399637,-0.5238095,10,5.05,318,797,0.541080316,N,0.541080316,6,,0.070970555,,2,2,18,0.219399637,-0.5238095,1,0.495,0.458919684,1,0.458919684,0,0.929029445,NA,0.858919684,2,2,0.929029445,0.7
102,24,166.8104074,816.1207484,0.190099619,0.04761905,9,4,279,610,0.302305865,Y,0.302305865,7,,0.002305865,,2,1,18,0.190099619,0.04761905,0.9,0.6,0.697694135,0.9,0.697694135,0.7222222,0.997694135,NA,0.997694135,2,1,0.997694135,0.8
103,20,246.2321341,475.9662025,0.355744356,0.25,10,3.8,164,382,0.18854336,N,0.18854336,6,,0.21145664,,2,1,18,0.355744356,0.25,1,0.62,0.81145664,1,0.81145664,0.6666667,0.78854336,NA,0.78854336,2,1,0.78854336,0.7
104,19,166.3171536,702.9461385,0.20776977,0.3333333,10,3.95,248,733,0.281832078,N,0.281832078,8,,0.081832078,,2,2,17,0.20776977,0.3333333,1,0.605,0.718167922,1,0.718167922,0.7254902,0.918167922,NA,0.918167922,2,2,0.918167922,0.95
105,22,220.7787531,773.8451136,0.239034515,0.375,10,5.15,430,820,0.444203683,N,0.444203683,2,,0.355796317,,2,1,18,0.239034515,0.375,1,0.485,0.555796317,1,0.555796317,0.27777778,0.644203683,NA,0.644203683,2,1,0.644203683,0.3
108,22,213.3237002,849.9817959,0.213080164,0.375,10,4.55,213,651,0.226631647,N,0.226631647,3,,0.473368353,,2,0,18,0.213080164,0.375,1,0.545,0.773368353,1,0.773368353,0.7777778,0.526631647,NA,0.526631647,2,0,0.526631647,0.4
109,21,161.6020936,795.259469,0.18493431,0.1428571,10,4.15,268,618,0.325691394,N,0.325691394,6,,0.10106857,,2,2,18,0.18493431,0.1428571,1,0.585,0.674308606,1,0.674308606,0.2777778,0.89893143,NA,0.925691394,2,2,0.89893143,0.7
111,25,171.8396822,807.3194249,0.188636326,0.3333333,10,4,292,595,0.204031021,N,0.204031021,5,,0.295968979,,2,1,17,0.188636326,0.3333333,1,0.6,0.795968979,1,0.795968979,0.6862745,0.704031021,NA,0.704031021,2,1,0.704031021,0.65
112,21,292.6070589,624.0643134,0.336128429,0.625,9,4.1,226,485,0.19826511,N,0.19826511,7,,0.10173489,,2,2,12,0.336128429,0.625,0.9,0.59,0.80173489,1,0.80173489,0.5625,0.89826511,NA,0.89826511,2,2,0.89826511,0.9
113,25,351.7946283,1044.709395,0.264096569,-0.1111111,10,3.85,311,715,0.27124148,N,0.27124148,8,,0.07124148,,2,2,19,0.264096569,-0.1111111,1,0.615,0.72875852,1,0.72875852,0.3684211,0.92875852,NA,0.92875852,2,2,0.92875852,0.85
114,25,241.6150058,919.180988,0.220285725,0.7777777,10,4.4,321,735,0.240431731,N,0.240431731,6,,0.163488882,,2,2,19,0.220285725,0.7777777,1,0.56,0.759568269,1,0.759568269,0.5789474,0.836511118,NA,0.840431731,2,2,0.836511118,0.65
115,24,211.3007375,932.8715627,0.198126734,0.375,10,4.75,308,677,0.349470314,N,0.349470314,6,,0.107963126,,2,1,19,0.198126734,0.375,1,0.525,0.650529686,1,0.650529686,0.8947368,0.892036874,NA,0.949470314,2,1,0.892036874,0.65
116,25,157.3022761,1089.865959,0.137049169,0.5,10,4.3,343,799,0.238115275,N,0.238115275,8,,0.028102335,,2,1,16,0.137049169,0.5,1,0.57,0.761884725,1,0.761884725,0.71875,0.971897665,NA,0.961884725,2,1,0.971897665,1
117,25,277.5724553,1070.567477,0.232375306,0.1724138,9,5.75,376,688,0.624576199,N,0.624576199,6,,0.082243428,,2,1,13,0.232375306,0.1724138,0.9,0.425,0.375423801,1,0.375423801,0.7362637,0.917756572,NA,0.775423801,2,1,0.917756572,0.95
119,23,367.8258446,887.3196171,0.311125021,0.8095238,10,4.35,265,740,0.284192907,N,0.284192907,8,,0.084192907,,2,2,13,0.311125021,0.8095238,1,0.565,0.715807093,1,0.715807093,0.7362637,0.915807093,NA,0.915807093,2,2,0.915807093,0.85
120,25,307.3266832,1469.19696,0.214512143,0.3548387,10,4.75,410,1025,0.638593565,N,0.638593565,4,,0.207854399,,2,0,11,0.214512143,0.3548387,1,0.525,0.361406435,1,0.361406435,0.4747475,0.792145601,NA,0.961406435,2,0,0.792145601,0.85
121,25,202.9739237,640.9507786,0.257310187,-0.375,10,4.25,195,591,0.269692961,N,0.269692961,5,,0.230307039,,2,2,18,0.257310187,-0.375,1,0.575,0.730307039,1,0.730307039,0.5555556,0.769692961,NA,0.769692961,2,2,0.769692961,0.6
122,24,171.26039,642.658586,0.249230216,0.1428571,10,4.75,258,502,0.305414364,N,0.305414364,6,,0.094585636,,2,1,17,0.249230216,0.1428571,1,0.525,0.694585636,1,0.694585636,0.4509804,0.905414364,NA,0.905414364,2,1,0.905414364,0.75
123,20,165.2558978,557.4690076,0.246043888,-0.5833333,10,4.4,184,441,0.242582828,N,0.242582828,8,,0.042582828,,2,1,16,0.246043888,-0.5833333,1,0.56,0.757417172,1,0.757417172,0.71875,0.957417172,NA,0.957417172,2,1,0.957417172,1
124,21,178.3132187,567.4324096,0.258428047,-0.04347826,10,4.8,226,420,0.324119885,N,0.324119885,6,,0.075880115,,2,2,15,0.258428047,-0.04347826,1,0.52,0.675880115,1,0.675880115,0.3066667,0.924119885,NA,0.924119885,2,2,0.924119885,0.85
125,18,184.3972827,1277.279627,0.138912713,0.3333333,10,2.35,661,1027,0.288603036,N,0.288603036,7,,0.011396964,,2,2,19,0.138912713,0.3333333,1,0.765,0.711396964,1,0.711396964,0.1578947,0.988603036,NA,0.988603036,2,2,0.988603036,0.75
126,22,186.603415,735.6308036,0.220198001,0.875,6,4.3,314,586,0.241927533,N,0.241927533,7,,0.058072467,,2,1,18,0.220198001,0.875,0.6,0.57,0.758072467,1,0.758072467,0.6666667,0.941927533,NA,0.941927533,2,1,0.941927533,0.8
127,25,185.3668061,1461.61094,0.121664956,0.5238095,10,3.8,589,900,0.343153172,N,0.343153172,4,,0.256846828,,2,1,17,0.121664956,0.5238095,1,0.62,0.656846828,1,0.656846828,0.254902,0.743153172,NA,0.743153172,2,1,0.743153172,0.55
129,19,256.7637341,1429.95873,0.161224539,0.03225806,9,3.1875,540,824,0.295269506,Y,0.295269506,4,3,0.304730494,0.15,2,1,9,0.161224539,0.03225806,0.9,0.68125,0.704730494,0.8,0.704730494,0.6565657,0.695269506,0.85,0.695269506,2,1,0.695269506,0.85
130,21,262.0758651,1574.153474,0.150978583,0.5,10,3.15,630,1074,0.324162381,N,0.324162381,0,2,0.675837619,0.5,2,2,14,0.150978583,0.5,1,0.685,0.675837619,1,0.675837619,0.6904762,0.324162381,0.5,0.324162381,2,2,0.324162381,0.5
131,20,204.2443491,1659.177683,0.204717973,-0.1111111,3,5.65,1052,1076,0.351051075,N,0.351051075,6,5,0.048948925,0.1,2,1,8,0.204717973,-0.1111111,0.3,0.435,0.648948925,1,0.648948925,0.375,0.951051075,0.9,0.951051075,2,1,0.951051075,0.9
135,22,165.9179135,1002.222879,0.15076948,-0.1111111,6,6.7,672,711,0.349262675,N,0.349262675,6,7,0.050737325,0.25,1,1,19,0.15076948,-0.1111111,0.6,0.33,0.650737325,1,0.650737325,0.2631579,0.949262675,0.75,0.949262675,1,1,0.949262675,0.75
136,24,206.0804757,1233.845587,0.156498236,1,5,4.85,824,967,0.398594093,N,0.398594093,7,6,0.098594093,0.35,0,1,19,0.156498236,1,0.5,0.515,0.601405907,1,0.601405907,0.8947368,0.901405907,0.65,0.901405907,0,1,0.901405907,0.65
137,24,187.2273399,786.5148106,0.211458121,0.3333333,8,4.65,413,686,0.354901674,N,0.354901674,6,9,0.045098326,0.05,2,1,19,0.211458121,0.3333333,0.8,0.535,0.645098326,1,0.645098326,0.05263158,0.954901674,0.95,0.954901674,2,1,0.954901674,0.95
138,23,298.7513476,1143.357368,0.222728019,0.375,6,5,443,851,0.343852334,N,0.343852334,2,7,0.456147666,0.2,2,1,18,0.222728019,0.375,0.6,0.5,0.656147666,1,0.656147666,0.5,0.543852334,0.8,0.543852334,2,1,0.543852334,0.8
139,24,235.5760974,1653.932979,0.136995079,0.5862069,9,3.65,411,905,0.884515617,N,0.884515617,4,5,0.284515617,0.15,2,1,13,0.136995079,0.5862069,0.9,0.635,0.115484383,1,0.115484383,0.4505495,0.715484383,0.85,0.715484383,2,1,0.715484383,0.85
142,22,351.9002587,1173.088606,0.241435185,0.125,7,4.75,510,810,0.203697092,N,0.203697092,7,7,0.096302908,0.2,2,2,18,0.241435185,0.125,0.7,0.525,0.796302908,1,0.796302908,0.4444444,0.903697092,0.8,0.903697092,2,2,0.903697092,0.8
143,21,185.040316,921.2096474,0.176650641,0.1111111,8,6.25,389,546,0.33596348,N,0.33596348,7,10,0.03596348,0.25,2,2,15,0.176650641,0.1111111,0.8,0.375,0.66403652,1,0.66403652,0.0666667,0.96403652,0.75,0.96403652,2,2,0.96403652,0.75
144,25,199.281184,1810.471092,0.106217523,0.5555555,3,5.95,1037,1140,0.261970977,N,0.261970977,7,5,0.038029023,0.05,2,2,11,0.106217523,0.5555555,0.3,0.405,0.738029023,1,0.738029023,0.8383838,0.961970977,0.95,0.961970977,2,2,0.961970977,0.95
145,21,194.638337,884.1796679,0.189554801,0.3333333,6,3.55,357,707,0.167660918,N,0.167660918,9,10,0.067660918,0.05,2,2,19,0.189554801,0.3333333,0.6,0.645,0.832339082,1,0.832339082,0.7894737,0.932339082,0.95,0.932339082,2,2,0.932339082,0.95
146,21,292.8282256,881.2168155,0.264621788,0.3913043,8,4.166666667,345,537,0.216574618,Y,0.216574618,6,8,0.183425382,0,2,2,16,0.264621788,0.3913043,0.8,0.583333333,0.783425382,0.9,0.783425382,0.375,0.816574618,1,0.816574618,2,2,0.816574618,1
147,20,210.3664041,751.9808183,0.232415423,-0.625,7,4.6,277,445,0.262360016,N,0.262360016,5,6,0.237639984,0.3,2,2,18,0.232415423,-0.625,0.7,0.54,0.737639984,1,0.737639984,0.2777778,0.762360016,0.7,0.762360016,2,2,0.762360016,0.7
148,25,303.7002668,964.5795676,0.25399997,-0.7777777,7,3.7,362,664,0.217813509,N,0.217813509,7,7,0.082186491,0.25,2,1,19,0.25399997,-0.7777777,0.7,0.63,0.782186491,1,0.782186491,0.1578947,0.917813509,0.75,0.917813509,2,1,0.917813509,0.75
149,20,225.5785403,1372.82476,0.156170098,0.3103448,8,6.05,740,954,0.254761573,N,0.254761573,5,8,0.245238427,0.1,2,1,14,0.156170098,0.3103448,0.8,0.395,0.745238427,1,0.745238427,0.7619048,0.754761573,0.9,0.754761573,2,1,0.754761573,0.9
150,25,233.5929524,1227.18176,0.172976617,0.1111111,8,3.6,497,813,0.204391471,N,0.204391471,7,9,0.095608529,0.05,2,2,19,0.172976617,0.1111111,0.8,0.64,0.795608529,1,0.795608529,0.1578947,0.904391471,0.95,0.904391471,2,2,0.904391471,0.95
153,22,204.1390002,957.2870002,0.190663999,1,6,4.3,402,774,0.265855674,N,0.265855674,5,9,0.234144326,0.05,2,1,19,0.190663999,1,0.6,0.57,0.734144326,1,0.734144326,0.7894737,0.765855674,0.95,0.765855674,2,1,0.765855674,0.95
154,24,231.8180006,530.4120002,0.324248231,-0.5,6,4.6,245,378,0.233847844,Y,0.233847844,6,10,0.166152156,0.1,2,2,18,0.324248231,-0.5,0.6,0.54,0.766152156,0.9,0.766152156,-0.2222222,0.833847844,0.9,0.833847844,2,2,0.833847844,0.9
157,22,183.1110008,1214.598,0.137189509,0.625,6,4,430,653,0.33328114,Y,0.33328114,6,7,0.06671886,0.2,2,2,18,0.137189509,0.625,0.6,0.6,0.66671886,0.9,0.66671886,0.5555556,0.93328114,0.8,0.93328114,2,2,0.93328114,0.8
158,25,2648.76,777.5289996,0.397052989,0.5555555,7,4.2,391,517,0.305540223,N,0.305540223,6,9,0.094459777,0.05,2,2,19,0.397052989,0.5555555,0.7,0.58,0.694459777,1,0.694459777,-0.4736842,0.905540223,0.95,0.905540223,2,2,0.905540223,0.95
159,21,230.7490001,511.5079999,0.328098279,-0.2380952,6,4.35,261,476,0.334000974,N,0.334000974,5,4,0.165999026,0.45,0,0,17,0.328098279,-0.2380952,0.6,0.565,0.665999026,1,0.665999026,-0.1764706,0.834000974,0.55,0.834000974,0,0,0.834000974,0.55
160,25,206.6979995,903.0470002,0.208770062,-1,8,4.3,392,606,0.301787498,N,0.301787498,7,9,0.001787498,0,2,1,18,0.208770062,-1,0.8,0.57,0.698212502,1,0.698212502,-0.2222222,0.998212502,1,0.998212502,2,1,0.998212502,1
161,22,154.1469999,1002.863,0.173752021,-0.5862069,8,4.45,287,664,0.274525055,N,0.274525055,8,10,0.074525055,0.3,2,1,14,0.173752021,-0.5862069,0.8,0.555,0.725474945,1,0.725474945,0.1428571,0.925474945,0.7,0.925474945,2,1,0.925474945,0.7
