Participant,avgPlan1,avgPlan2,avgPlanall,SAT,Pred4Time,Pred9Time,RankDiff1,RankDiff2,RankDiffall,avgSD1,avgSD2,avgSD4,avgSD9,avgSDall,AvgFHalf,AvgSHalf,Avg4,Avg9,TotalAvg,PuzzScor1,PuzzScor2,PuzzAcc,Clicks1,Clicks2,ClicksAll,NoWrinTime,CJTime,CJPuzz,RefTimeAcc,RefPuzzAcc,Strategy,Improve
15,0.281728968,0.290965562,0.286347265,1,0.26,0.634166667,0.178947368,0.215789474,0.802631579,0.075525545,0.195274374,0.046998007,0.223801911,0.135399959,0.528423741,0.169949309,0.336675291,0.361697759,0.650813475,0.9,0.9,0.9,0.28,0.18,0.77,0.95,0.6,,0.9,,1,0.5
16,0.208017517,0.230781756,0.219399637,1,0.265,0.664166667,0.247368421,0.215789474,0.768421053,0.074837391,0.193608074,0.049488478,0.218956987,0.134222732,0.761242565,0.320918066,0.378073241,0.70408739,0.458919684,1,0.8,0.9,0.242,0.152,0.803,0.9,0.6,,0.9,,1,1
17,0.214583944,0.165615294,0.190099619,0.9,0.2325,0.508333333,0.268421053,0.164473684,0.777777778,0.059597773,0.149693912,0.036184822,0.173106863,0.104645843,0.266037293,0.34764158,0.391411796,0.213199934,0.697694135,0.9,0.9,0.9,0.224,0.236,0.77,0.9,0.7,,1,,1,0.5
18,0.361505332,0.349983379,0.355744356,1,0.136666667,0.318333333,0.115789474,0.194736842,0.844736842,0.036682062,0.091251858,0.025160305,0.102773615,0.06396696,0.251502383,0.125584336,0.177786971,0.199299748,0.81145664,1,0.8,0.9,0.2,0.186,0.807,0.9,0.6,,0.8,,1,0.5
19,0.217896871,0.197642669,0.20776977,1,0.206666667,0.610833333,0.231578947,0.221052632,0.773684211,0.068050467,0.158171337,0.038896794,0.18732501,0.113110902,0.325170841,0.238493315,0.270861908,0.292802248,0.718167922,0.9,0.8,0.85,0.164,0.166,0.835,0.85,0.8,,0.9,,1,1
20,0.248181659,0.229887372,0.239034515,1,0.358333333,0.683333333,0.310526316,0.205263158,0.742105263,0.069620734,0.19763536,0.039109321,0.228146773,0.133628047,0.474624949,0.413782416,0.453203331,0.435204034,0.555796317,0.8,1,0.9,0.2,0.162,0.819,0.9,0.2,,0.6,,1,0.5
21,0.29289341,0.345547945,0.319220677,1,0.155,0.380833333,0.205263158,0.252631579,0.771052632,0.049909274,0.119809498,0.031587533,0.13813124,0.084859386,0.277092544,0.192551375,0.174507818,0.295136101,0.765178041,1,1,1,0.186,0.138,0.838,1,0.7,,0.9,,1,1
22,0.329831943,0.336332134,0.333082038,0.9,0.144166667,0.443333333,0.223684211,0.221052632,0.777777778,0.051493036,0.144815398,0.039579766,0.156728668,0.098154217,0.196719232,0.283479659,0.265356899,0.22448204,0.755080531,1,1,1,0.19,0.158,0.826,1,0.4,,0.6,,1,0.5
23,0.208744416,0.217415913,0.213080164,1,0.1775,0.5425,0.2,0.178947368,0.810526316,0.065183022,0.165668742,0.055038052,0.175813712,0.115425882,0.219637327,0.233625967,0.242168572,0.211094722,0.773368353,1,0.8,0.9,0.276,0.196,0.764,0.9,0.3,,0.5,,1,0
24,0.176881438,0.192987182,0.18493431,1,0.223333333,0.515,0.147368421,0.189473684,0.831578947,0.073431458,0.156332245,0.045632274,0.184131428,0.114881851,0.457198136,0.194184653,0.311721944,0.339660845,0.674308606,0.9,0.9,0.9,0.25,0.184,0.783,0.9,0.6,,0.9,,1,1
25,0.278874638,0.296075596,0.287475117,1,0.196666667,0.454166667,0.157894737,0.215789474,0.813157895,0.05813992,0.133307113,0.037877575,0.153569458,0.095723516,0.179134995,0.200281463,0.215693683,0.163722775,0.810291771,1,1,1,0.15,0.14,0.855,1,0.6,,0.8,,1,0.5
26,0.186242382,0.19103027,0.188636326,1,0.243333333,0.495833333,0.173684211,0.157894737,0.834210526,0.068078273,0.146629472,0.05752387,0.157183876,0.107353873,0.24465274,0.163409302,0.228358434,0.179703608,0.795968979,0.9,0.8,0.85,0.19,0.212,0.799,0.85,0.5,,0.7,,1,0.5
27,0.291430017,0.38082684,0.336128429,0.9,0.188333333,0.404166667,0.194736842,0.189473684,0.807894737,0.038280959,0.112207394,0.034253354,0.116234999,0.075244177,0.143211388,0.253318832,0.215198614,0.181331605,0.80173489,0.6,0.6,0.6,0.234,0.192,0.787,0.6,0.7,,0.9,,1,1
28,0.24245897,0.285734168,0.264096569,1,0.259166667,0.595833333,0.263157895,0.168421053,0.784210526,0.085410711,0.178097065,0.059404489,0.204103287,0.131753888,0.431817474,0.110665487,0.345172277,0.197310684,0.72875852,1,0.9,0.95,0.19,0.158,0.826,0.95,0.8,,0.9,,1,1
29,0.231029786,0.209541663,0.220285725,1,0.2675,0.6125,0.242105263,0.194736842,0.781578947,0.08052214,0.181042536,0.052112418,0.209452259,0.130782338,0.320411645,0.160451816,0.225584421,0.255279041,0.759568269,1,0.9,0.95,0.286,0.316,0.699,0.95,0.6,,0.8,,1,1
30,0.180175925,0.216077543,0.198126734,1,0.256666667,0.564166667,0.247368421,0.163157895,0.794736842,0.096196582,0.195894725,0.072180771,0.219910537,0.146045654,0.515517648,0.183422981,0.173564827,0.525375802,0.650529686,1,0.9,0.95,0.308,0.206,0.743,0.95,0.6,,0.9,,1,0.5
31,0.119397414,0.154700924,0.137049169,1,0.285833333,0.665833333,0.189473684,0.152631579,0.828947368,0.055640506,0.188347595,0.046259194,0.197728907,0.12199405,0.349015828,0.127214722,0.1950921,0.281138451,0.761884725,0.8,0.8,0.8,0.602,0.388,0.505,0.85,0.8,,1,,1,0.5
32,0.22393807,0.240812542,0.232375306,0.9,0.313333333,0.573333333,0.315789474,0.2,0.742105263,0.37733427,0.193916501,0.288277747,0.282973024,0.285625385,1.074345631,0.174806766,0.725965613,0.523186784,0.375423801,0.6,0.7,0.65,0.266,0.19,0.772,0.8,0.6,,0.8,,1,0.5
33,0.157083468,0.166353841,0.161718654,0.9,0.27,0.626666667,0.157894737,0.2,0.81871345,0.083236677,0.197360124,0.057666636,0.222930165,0.1402984,0.26409528,0.241985658,0.358286505,0.145337809,0.748187843,1,1,1,0.328,0.254,0.709,1,0.7,,1,,1,0.5
34,0.304360311,0.317889732,0.311125021,1,0.220833333,0.616666667,0.173684211,0.226315789,0.8,0.089185927,0.172924001,0.048867452,0.213242475,0.131054964,0.279498266,0.288887549,0.36479717,0.203588645,0.715807093,0.7,0.6,0.65,0.2,0.168,0.816,0.65,0.8,,0.9,,1,1
35,0.228516092,0.200508194,0.214512143,1,0.341666667,0.854166667,0.236842105,0.226315789,0.768421053,0.833315259,0.223300111,0.70411106,0.352504309,0.528307684,1.13015304,0.147034089,0.913569734,0.363617395,0.361406435,0.3,0.8,0.55,0.162,0.152,0.843,0.8,0.4,,1,,1,0
36,0.216087761,0.298532613,0.257310187,1,0.1625,0.4925,0.210526316,0.263157895,0.763157895,0.040723028,0.116131324,0.030574158,0.126280194,0.078427176,0.2817347,0.257651222,0.260118083,0.279267839,0.730307039,0.9,0.9,0.9,0.268,0.224,0.754,0.9,0.5,,0.8,,1,1
